languageFrom,languageTo,changeDate
"_ as _","_ tak jak _",20200101
"_ is _","_ jest _",20200101
"_ of _","_ z _",20200101
"a little",trochę,20200101
"a little bit",troszkę,20200101
"a lot of",dużo,20200101
aaa,aaa,20200101
about,o,20200101
above,powyżej,20200101
access,dostęp,20200101
accident,wypadek,20200101
accountancy,Księgowość,20200101
ace,as,20200101
ache,ból,20200101
across,przez,20200101
add,Dodaj,20200101
adult,dorosły,20200101
advantage,korzyść,20200101
aeroplane,samolot,20200101
afraid,przestraszony,20200101
"afraid of","bać się",20200101
after,po,20200101
again,"jeszcze raz",20200101
against,przeciwko,20200101
againts,przeciw,20200101
age,wiek,20200101
all,wszystko,20200101
"all the time","cały czas",20200101
almost,prawie,20200101
alone,sam,20200101
already,już,20200101
although,"mimo że",20200101
always,zawsze,20200101
ancient,starożytny,20200101
and,i,20200101
angry,zły,20200101
another,inne,20200101
answer,odpowiedź,20200101
"answer the question","Odpowiedz na pytanie",20200101
any,każdy,20200101
anyone,ktoś,20200101
anything,"byle co",20200101
anywhere,gdziekolwiek,20200101
appear,"zjawić się",20200101
april,kwiecień,20200101
around,"na około",20200101
arrow,strzałka,20200101
artisan,rzemieślnik,20200101
"as soon as","jak tylko",20200101
ash,popiół,20200101
ask,zapytać,20200101
associated,powiązany,20200101
assume,założyć,20200101
assumption,założenie,20200101
"at all","w ogóle",20200101
"at home","w domu",20200101
"at least",przynajmniej,20200101
attract,pociągać,20200101
august,sierpień,20200101
aunt,ciocia,20200101
average,średni,20200101
axe,topór,20200101
b,b,20200101
baby,kochanie,20200101
bad,zły,20200101
bag,torba,20200101
"balls of snow","kule śniegu",20200101
bar,bar,20200101
bark,szczekać,20200101
"based on","oparte na",20200101
basememt,piwnica,20200101
"bath (take bath)","kąpiel (weź kąpiel)",20200101
bathroom,łazienka,20200101
beard,zarost,20200101
beautiful,piękny,20200101
because,dlatego,20200101
bee,pszczoła,20200101
before,przed,20200101
begin,zaczynać,20200101
beginnner,początkujący,20200101
behave,"zachować się",20200101
behavior,zachowanie,20200101
behind,za,20200101
believe,uwierzyć,20200101
"belly button",pępek,20200101
"belong to","należeć do",20200101
below,poniżej,20200101
benefit,zasiłek,20200101
berry,jagoda,20200101
between,pomiędzy,20200101
beyond,poza,20200101
big,duży,20200101
bigger,większy,20200101
bird,ptak,20200101
bishop,biskup,20200101
bite,gryźć,20200101
bitter,gorzki,20200101
black,czarny,20200101
"black berry","czarna jagoda",20200101
blackout,zaciemnienie,20200101
blind,ślepy,20200101
blood,krew,20200101
blue,niebieski,20200101
boar,dzik,20200101
board,tablica,20200101
boat,łódź,20200101
body,ciało,20200101
boil,gotować,20200101
bone,kość,20200101
book,książka,20200101
boots,buty,20200101
boring,nudny,20200101
borrow,pożyczać,20200101
both,obie,20200101
bottom,Dolny,20200101
brain,mózg,20200101
"brake in","włamać się",20200101
brave,odważny,20200101
break,złamać,20200101
"break in","włamać się",20200101
"break off",zerwać,20200101
breakfast,śniadanie,20200101
breath,oddech,20200101
bridge,most,20200101
bright,jasny,20200101
bring,przynieść,20200101
broke,"zepsuł się",20200101
broken,złamany,20200101
broomstick,miotła,20200101
brother,brat,20200101
brown,brązowy,20200101
browse,Przeglądaj,20200101
browser,przeglądarka,20200101
bug,pluskwa,20200101
build,budować,20200101
buildind,budować,20200101
bulb,żarówka,20200101
bullet,pocisk,20200101
busy,zajęty,20200101
but,ale,20200101
butterfly,motyl,20200101
button,przycisk,20200101
buy,Kup,20200101
by,przez,20200101
cables,kable,20200101
cake,ciasto,20200101
calculate,Oblicz,20200101
calculation,obliczenie,20200101
call,połączenie,20200101
called,nazywa,20200101
calm,spokojna,20200101
"calm down","uspokój się",20200101
camel,wielbłąd,20200101
"can see",widać,20200101
"can't wait for","nie mogę się doczekać",20200101
candy,cukierek,20200101
cannon,armata,20200101
cap,czapka,20200101
capable,zdolny,20200101
capital,kapitał,20200101
careful,ostrożny,20200101
careless,nieostrożny,20200101
carry,nieść,20200101
castle,zamek,20200101
cause,przyczyna,20200101
cave,jaskinia,20200101
century,stulecie,20200101
certain,pewny,20200101
championship,mistrzostwo,20200101
chance,szansa,20200101
change,zmiana,20200101
chapter,rozdział,20200101
cheap,tani,20200101
check,czek,20200101
checkered,"w kratkę",20200101
chess,szachy,20200101
chew,żuć,20200101
child,dziecko,20200101
children,dzieci,20200101
chill,chłód,20200101
chimney,komin,20200101
choice,wybór,20200101
choke,"dławić się",20200101
choose,wybierać,20200101
chopper,siekacz,20200101
cinema,kino,20200101
circle,okrąg,20200101
classroom,klasa,20200101
claws,pazury,20200101
clean,czysty,20200101
clear,jasny,20200101
climb,"wspinać się",20200101
clock,zegar,20200101
close,blisko,20200101
"close to each other","blisko siebie nawzajem",20200101
cloth,płótno,20200101
cloud,Chmura,20200101
clubs,kluby,20200101
cold,zimno,20200101
come,chodź,20200101
commit,popełnić,20200101
conductor,konduktor,20200101
confess,wyznać,20200101
confession,wyznanie,20200101
confuse,dezorientować,20200101
connect,połączyć,20200101
consider,rozważać,20200101
"consist of","składać się z",20200101
contain,zawierać,20200101
content,zawartość,20200101
convince,przekonać,20200101
cookie,ciastko,20200101
cool,chłodny,20200101
cooperate,współpracować,20200101
corner,kąt,20200101
could,mógłby,20200101
country,kraj,20200101
cover,pokrywa,20200101
coward,tchórz,20200101
crayfish,rak,20200101
crazy,zwariowany,20200101
cream,krem,20200101
creature,kreatura,20200101
cross,krzyż,20200101
crowd,tłum,20200101
crown,korona,20200101
cry,płakać,20200101
crybaby,beksa,20200101
cure,lekarstwo,20200101
curious,ciekawy,20200101
currency,waluta,20200101
current,obecny,20200101
dangerous,niebezpieczny,20200101
dark,ciemny,20200101
daughter,córka,20200101
day,dzień,20200101
"day off","dzień wolny",20200101
dead,"nie żyje",20200101
deaf,głuchy,20200101
"deal damage","zadać obrażenia",20200101
"deal with something","poradzić sobie z czymś",20200101
death,śmierć,20200101
december,grudzień,20200101
deep,głęboki,20200101
defence,obrona,20200101
definately,zdecydowanie,20200101
degrees,stopnie,20200101
delicious,pyszne,20200101
delitious,obrzydliwy,20200101
dependent,zależny,20200101
describe,opisać,20200101
description,opis,20200101
desert,pustynia,20200101
destination,"Miejsce docelowe",20200101
destiny,przeznaczenie,20200101
destroy,zniszczyć,20200101
destruction,zniszczenie,20200101
device,urządzenie,20200101
diamonds,diamenty,20200101
diaper,pielucha,20200101
did,zrobił,20200101
die,umierać,20200101
difference,różnica,20200101
different,różne,20200101
difficult,trudny,20200101
digest,strawić,20200101
dimention,wymiar,20200101
